http://sos.uhrs.indiana.edu/Job_Code_Title_Abbreviation_List.htm
& 	AND
1ST 	FIRST
2ND 	SECOND
3RD 	THIRD
ABATE 	ABATEMENT
ACAD 	ACADEMIC
ACCT 	ACCOUNT, ACCOUNTANT, ACCOUNTING
ACK 	ACKNOWLEDGEMENT
ACQ 	ACQUISITION
ACT 	ACTIVITY, ACTIVITIES
ADMIN 	ADMINISTRATIVE, ADMINISTRATION, ADMINISTRATOR
ADMISS 	ADMISSION, ADMISSIONS
ADVNCD 	ADVANCED
AIT 	ADVANCED INFORMATION TECHNOLOGIES
ADV 	ADVISOR, ADVISER, ADVISING
AFF 	AFFAIRS
AA 	AFFIRMATIVE ACTION
AIM 	AFTERCARE BY IUPUI THROUGH MENTORING
ALUM 	ALUMNI
AMBUL 	AMBULATORY
ADA 	AMERICAN DISABILITIES ACT
ANGIO 	ANGIOGRAPHY
ANN 	ANNUAL
APPL 	APPLICATION, APPLICATOR
APPT 	APPOINTMENT
APR 	APPRENTICE
A/S 	ARTS AND SCIENCES
ASBES 	ASBESTOS
ASSESS 	ASSESS , ASSESSMENT
ASST 	ASSISTANT, ASSISTANCE
AVC 	ASSISTANT/ASSOCIATE VICE CHANCELLOR
AVP 	ASSISTANT/ASSOCIATE VICE PRESIDENT
AI 	ASSOCIATE INSTRUCTOR
ASSOC 	ASSOCIATE, ASSOCIATED
ABFE 	ASSOCIATION OF BLACK FOUNDATION EXECUTIVES
ASSUR 	ASSURANCE
ATH 	ATHLETIC, ATHLETICS
ATTD 	ATTENDANT
AV 	AUDIO VISUAL
AUD 	AUDIOLOGY, AUDIOLOGIST
ACE/IVR 	AUTOMATED COURSE EXCHANGE/INTERACTIVE VOICE RESPONSE
AUX 	AUXILIARY
BSW 	BACHELOR OF SOCIAL WORK
BASBL 	BASEBALL
BSKTB 	BASKETBALL
BEN 	BENEFIT, BENEFITS
BIOINFO 	BIOINFORMATICS
BTHER 	BIOLOGIC THERAPY
BL 	BLOOMINGTON
BLDG 	BUILDING
BUS 	BUSINESS
B & E 	BUSINESS & ECONOMICS
CAMP 	CAMPAIGN
CNCR 	CANCER
CAP 	CAPITAL
CAM 	CAPITAL ASSETS MANAGEMENT
CLS 	CARDIAC LIFE SUPPORT
CARDIO 	CARDIOLOGY
CPR 	CARDIOPULMONARY RESUSICATION
CTLG 	CATALOGING
CATH 	CATHERIZATION
CAV 	CAVANAUGH
CTR 	CENTER
CRTN 	CERTIFICATION
CHANC 	CHANCELLOR
CHEM 	CHEMISTRY
CEO 	CHIEF EXECUTIVE OFFICER
CFO 	CHIEF FINANCIAL OFFICER
CHLDHD 	CHILDHOOD
CIRC 	CIRCULATION
CL 	CLASS
CLSF 	CLASSIFY, CLASSIFICATION, CLASSIFIED
CLRGHOUSE 	CLEARNINGHOUSE
CLIN 	CLINIC, CLINICAL
COLL 	COLLECTION, COLLECTOR
CPI 	COLLEGE PREPARATION INITIATIVES
CMTE 	COMMITTEE
COMM 	COMMUNICATION
CMTY 	COMMUNITY
COMPENS 	COMPENSATION
CMPL 	COMPLIANCE
CBC 	COMPOSITION BY COMPUTERS
CADD 	COMPUTER AIDED DESIGN & DRAFTING
COMP 	COMPUTER, COMPUTERIZED, COMPUTING
CONF 	CONFERENCE
CONST 	CONSTRUCTION
CONS 	CONSULTANT, CONSULTING, CONSULTATION
CONSMR 	CONSUMER
CONTIN 	CONTINUING
CME 	CONTINUING MEDICAL EDUCATION
CONT 	CONTROL
COOP 	COOPERATIVE
COORD 	COORDINATOR, COORDINATED, COORDINATION
COUN 	COUNSELOR, COUNSEL, COUNSELING
CURR 	CURRICULUM, CURRICULAR
CYCL 	CYCLOTRON
CYTO 	CYTOGENETICS
DFAC 	DEAN OF THE FACULTIES
DECIS 	DECISION
DEL 	DELIVERY
DENT 	DENTAL
DEPT 	DEPARTMENT, DEPARTMENTAL
DPND 	DEPENDENCE
DSGN 	DESIGN, DESIGNER
DEVL 	DEVELOPMENT, DEVELOPMENTAL, DEVELOPER
DIAG 	DIAGNOSIS, DIAGNOSTIC
DIG 	DIGITAL
DIR 	DIRECTOR
DISAB 	DISABLED, DISABILITIES
DIST 	DISTANCE
DISTRIB 	DISTRIBUTION
DIVR 	DIVERSITY
DIV 	DIVISION
DOC 	DOCUMENT, DOCUMENTATION
DUPL 	DUPLICATING
ECG 	ECHOCARDIOGRAM, ECHOCARDIOGRAPHIC
EDUC 	EDUCATION, EDUCATIONAL
EDUCR 	EDUCATOR
ELEC 	ELECTRICAL, ELECTRIC, ELECTRICIAN
EEG 	ELECTROENCEPHALOGRAPHIC
ELECT 	ELECTRON, ELECTRONIC
ERA 	ELECTRONIC RESEARCH ADMINISTRATION
ELECTROPHYS 	ELECTROPHYSIOLOGY
ELEM 	ELEMENTARY
EMPL 	EMPLOYMENT, EMPLOYER
ERCP 	ENDOSCOPIC RETROGRADE CHOLANGIO PANCREATOGRAPHY
ENFORCEMNT 	ENFORCEMENT
ENG 	ENGINEER, ENGINEERING
ES 	ENROLLMENT SERVICES
ENVIRO 	ENVIRONMENT, ENVIRONMENTAL
EQUIP 	EQUIPMENT
ERIC/CHESS 	ERIC CLEARINGHOUSE
EVAL 	EVALUATION
EVEN 	EVENING
EP 	EVOKED POTENTIAL
EXCEL 	EXCELLENCE
EXEC 	EXECUTIVE
EXER 	EXERCISE
EXP 	EXPERIENCE
FAC 	FACILITY, FACILITIES
FACET 	FACULTY COLLOQUIUM ON EXCELLENCE IN TEACHING
FEL 	FELLOW
FIN 	FINANCE, FINANCES, FINANCIAL
FMS 	FINANCIAL MANAGEMENT SUPPORT
FIS 	FISCAL
FSER 	FOOD SERVICE
FOUNDTN 	FOUNDATION
FRSH 	FRESHMAN
FUTR 	FUTURE
GI 	GASTROINTESTINAL
GEN 	GENERAL
GSN 	GENERAL STAFF NURSE
GIS 	GEOGRAPHIC INFORMATION SYSTEMS
GENI 	GEOGRAPHY EDUCATORS NETWORK OF INDIANA
GIV 	GIVING
GOVT 	GOVERNMENT, GOVERNMENTAL
GR 	GRADE
