         725212601 function calls (725086874 primitive calls) in 1232.125 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.024    0.024 1232.215 1232.215 <string>:1(<module>)
      248    0.001    0.000    0.022    0.000 <string>:1(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(_from_selectable)
     1000    0.003    0.000    0.100    0.000 <string>:1(add_columns)
     5016    0.015    0.000    0.277    0.000 <string>:1(and_)
       26    0.000    0.000    0.000    0.000 <string>:1(bindparam)
        1    0.000    0.000    0.000    0.000 <string>:1(correlate)
        1    0.000    0.000    0.000    0.000 <string>:1(enable_eagerloads)
     1000    0.004    0.000    0.036    0.000 <string>:1(exists)
     5002    0.017    0.000    0.192    0.000 <string>:1(filter)
     6005    0.073    0.000    0.879    0.000 <string>:1(select)
     8289    0.010    0.000    0.010    0.000 <string>:1(set)
        1    0.000    0.000    0.000    0.000 <string>:1(slice)
     1001    0.002    0.000    0.012    0.000 <string>:1(with_labels)
     1000    0.003    0.000    0.133    0.000 <string>:1(with_only_columns)
        7    0.000    0.000    0.000    0.000 <string>:8(__new__)
        2    0.000    0.000    0.000    0.000 UserDict.py:17(__len__)
        1    0.000    0.000    0.000    0.000 UserDict.py:26(clear)
     3005    0.008    0.000    0.027    0.000 __init__.py:1118(debug)
       96    0.000    0.000    0.002    0.000 __init__.py:1130(info)
        3    0.000    0.000    0.000    0.000 __init__.py:1205(findCaller)
        3    0.000    0.000    0.000    0.000 __init__.py:1226(makeRecord)
        3    0.000    0.000    0.001    0.000 __init__.py:1239(_log)
        3    0.000    0.000    0.001    0.000 __init__.py:1260(handle)
        3    0.000    0.000    0.001    0.000 __init__.py:1292(callHandlers)
     3100    0.008    0.000    0.008    0.000 __init__.py:1318(getEffectiveLevel)
     3103    0.010    0.000    0.018    0.000 __init__.py:1332(isEnabledFor)
        3    0.000    0.000    0.000    0.000 __init__.py:153(getLevelName)
        3    0.000    0.000    0.000    0.000 __init__.py:242(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:311(getMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:41(<lambda>)
        7    0.000    0.000    0.000    0.000 __init__.py:445(usesTime)
        7    0.000    0.000    0.000    0.000 __init__.py:451(format)
        8    0.000    0.000    0.000    0.000 __init__.py:598(filter)
        1    0.000    0.000    0.079    0.079 __init__.py:64(load)
        5    0.000    0.000    0.000    0.000 __init__.py:692(acquire)
        5    0.000    0.000    0.000    0.000 __init__.py:699(release)
        7    0.000    0.000    0.000    0.000 __init__.py:712(format)
        5    0.000    0.000    0.001    0.000 __init__.py:735(handle)
        3    0.000    0.000    0.000    0.000 __init__.py:81(<lambda>)
        5    0.000    0.000    0.000    0.000 __init__.py:827(flush)
        5    0.000    0.000    0.001    0.000 __init__.py:834(emit)
        2    0.000    0.000    0.000    0.000 __init__.py:921(emit)
        1    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        2    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:340(get)
        1    0.000    0.000    0.000    0.000 _abcoll.py:63(__subclasshook__)
     2496    0.006    0.000    0.011    0.000 _collections.py:113(__new__)
    10897    0.066    0.000    0.087    0.000 _collections.py:142(__new__)
    10897    0.005    0.000    0.005    0.000 _collections.py:147(__init__)
    15901    0.070    0.000    0.168    0.000 _collections.py:153(union)
     5015    0.014    0.000    0.014    0.000 _collections.py:175(__init__)
     1000    0.002    0.000    0.002    0.000 _collections.py:178(__len__)
     7484    0.036    0.000    0.060    0.000 _collections.py:181(__iter__)
    12092    0.019    0.000    0.019    0.000 _collections.py:211(__contains__)
     2003    0.020    0.000    0.031    0.000 _collections.py:250(__init__)
     2017    0.003    0.000    0.003    0.000 _collections.py:268(__init__)
        7    0.000    0.000    0.000    0.000 _collections.py:289(update)
     5452    0.008    0.000    0.011    0.000 _collections.py:307(__iter__)
     5445    0.022    0.000    0.033    0.000 _collections.py:310(keys)
    12978    0.055    0.000    0.055    0.000 _collections.py:313(values)
     5463    0.019    0.000    0.019    0.000 _collections.py:316(items)
     7037    0.027    0.000    0.030    0.000 _collections.py:329(__setitem__)
     8022    0.074    0.000    0.186    0.000 _collections.py:357(__init__)
     2010    0.006    0.000    0.007    0.000 _collections.py:366(add)
     8050    0.016    0.000    0.020    0.000 _collections.py:392(__iter__)
        7    0.000    0.000    0.000    0.000 _collections.py:455(difference_update)
       19    0.000    0.000    0.000    0.000 _collections.py:671(__init__)
    10989    0.036    0.000    0.036    0.000 _collections.py:685(__iter__)
    21959    0.018    0.000    0.048    0.000 _collections.py:686(<genexpr>)
    21959    0.030    0.000    0.030    0.000 _collections.py:687(<genexpr>)
    15909    0.019    0.000    0.019    0.000 _collections.py:722(__init__)
